event_id,user_id,event_type,timestamp,sku_id,price_usd,recipient_id,platform,user_type,updated_at
evt_0022876,usr_0691,product_view,2026-03-28 02:23:00,SKU020,38.0,,ios,b2c,2026-03-28 02:30:18
evt_0022355,usr_0683,purchase,2026-03-28 17:33:00,SKU028,65.0,,android,b2c,2026-03-28 17:37:54
evt_0003995,usr_0110,app_open,2026-03-28 16:40:00,,,,ios,b2c,2026-03-28 16:44:14
evt_0015070,usr_0464,product_view,2026-03-28 15:51:00,SKU026,48.0,,web,b2c,2026-03-28 15:59:43
evt_0007036,usr_0224,app_open,2026-03-28 18:56:00,,,,ios,b2b,2026-03-28 19:04:59
evt_0020328,usr_0631,app_open,2026-03-28 04:16:00,,,,web,b2c,2026-03-28 04:23:58
evt_0009177,usr_0291,purchase,2026-03-28 00:24:00,SKU026,48.0,,ios,b2c,2026-03-28 00:27:11
evt_0026327,usr_0791,app_open,2026-03-28 18:18:00,,,,android,b2b,2026-03-28 18:23:11
evt_0003487,usr_0100,app_open,2026-03-28 09:42:00,,,,ios,b2c,2026-03-28 09:46:40
evt_0019543,usr_0605,app_open,2026-03-28 19:41:00,,,,ios,b2c,2026-03-28 19:46:49
evt_0018239,usr_0561,add_to_cart,2026-03-28 03:27:00,SKU015,52.0,,ios,b2c,2026-03-28 03:34:29
evt_0019135,usr_0589,app_open,2026-03-28 05:02:00,,,,ios,b2c,2026-03-28 05:02:28
evt_0000450,usr_0011,app_open,2026-03-28 04:48:00,,,,web,b2b,2026-03-28 04:53:04
evt_0016856,usr_0511,add_to_cart,2026-03-28 13:43:00,SKU021,44.0,,ios,b2b,2026-03-28 13:46:37
evt_0014466,usr_0446,app_open,2026-03-28 14:18:00,,,,web,b2c,2026-03-28 14:27:37
evt_0008301,usr_0270,product_view,2026-03-28 20:35:00,SKU001,65.0,,android,b2c,2026-03-28 20:39:03
evt_0015654,usr_0479,product_view,2026-03-28 19:04:00,SKU020,38.0,,android,b2c,2026-03-28 19:10:44
evt_0022359,usr_0683,purchase,2026-03-28 03:51:00,SKU028,65.0,,android,b2c,2026-03-28 03:59:24
evt_0009348,usr_0293,app_open,2026-03-28 19:38:00,,,,ios,b2c,2026-03-28 19:42:44
evt_0010336,usr_0320,product_view,2026-03-28 19:13:00,SKU007,85.0,,android,b2b,2026-03-28 19:13:30
evt_0023799,usr_0713,app_open,2026-03-28 22:23:00,,,,ios,b2c,2026-03-28 22:30:11
evt_0016356,usr_0498,product_view,2026-03-28 01:22:00,SKU010,95.0,,web,b2c,2026-03-28 01:27:00
evt_0012985,usr_0418,app_open,2026-03-28 04:54:00,,,,android,b2c,2026-03-28 04:59:35
evt_0023375,usr_0702,add_to_cart,2026-03-28 05:10:00,SKU017,68.0,,ios,b2c,2026-03-28 05:16:16
evt_0009187,usr_0291,product_view,2026-03-28 15:00:00,SKU030,46.0,,ios,b2c,2026-03-28 15:03:14
evt_0007213,usr_0232,product_view,2026-03-28 17:48:00,SKU008,55.0,,android,b2c,2026-03-28 17:49:12
evt_0004668,usr_0138,product_view,2026-03-28 12:57:00,SKU017,68.0,,ios,b2c,2026-03-28 12:57:24
evt_0003436,usr_0100,app_open,2026-03-28 06:45:00,,,,ios,b2c,2026-03-28 06:54:05
evt_0024764,usr_0737,product_view,2026-03-28 18:30:00,SKU003,38.0,,android,b2c,2026-03-28 18:31:31
evt_0015139,usr_0465,app_open,2026-03-28 13:10:00,,,,ios,b2c,2026-03-28 13:18:42
evt_0022440,usr_0684,product_view,2026-03-28 17:25:00,SKU018,78.0,,web,b2c,2026-03-28 17:31:31
evt_0011897,usr_0370,gift_send,2026-03-28 00:43:00,SKU011,75.0,rec_0032,ios,b2c,2026-03-28 00:48:59
evt_0017061,usr_0521,product_view,2026-03-28 15:52:00,SKU027,58.0,,ios,b2c,2026-03-28 16:00:32
evt_0009266,usr_0291,add_to_cart,2026-03-28 17:46:00,SKU013,32.0,,ios,b2c,2026-03-28 17:54:16
evt_0012081,usr_0376,purchase,2026-03-28 19:57:00,SKU018,78.0,,android,b2b,2026-03-28 19:58:02
evt_0006705,usr_0209,app_open,2026-03-28 05:05:00,,,,ios,b2c,2026-03-28 05:10:37
evt_0016350,usr_0498,purchase,2026-03-28 20:37:00,SKU010,95.0,,web,b2c,2026-03-28 20:39:41
evt_0016388,usr_0499,app_open,2026-03-28 05:05:00,,,,web,b2c,2026-03-28 05:13:24
evt_0009162,usr_0291,app_open,2026-03-28 02:18:00,,,,ios,b2c,2026-03-28 02:26:55
evt_0025232,usr_0757,app_open,2026-03-28 10:50:00,,,,android,b2c,2026-03-28 10:52:22
evt_0022379,usr_0683,product_view,2026-03-28 12:04:00,SKU025,89.0,,android,b2c,2026-03-28 12:10:25
evt_0014911,usr_0460,add_to_cart,2026-03-28 15:43:00,SKU030,46.0,,ios,b2c,2026-03-28 15:45:33
evt_0023973,usr_0714,product_view,2026-03-28 15:04:00,SKU016,120.0,,ios,b2c,2026-03-28 15:12:29
evt_0019987,usr_0621,gift_send,2026-03-28 13:12:00,SKU026,48.0,rec_0045,ios,b2c,2026-03-28 13:21:21
evt_0016381,usr_0499,product_view,2026-03-28 18:31:00,SKU001,65.0,,web,b2c,2026-03-28 18:40:36
evt_0009738,usr_0302,app_open,2026-03-28 11:43:00,,,,android,b2b,2026-03-28 11:49:00
evt_0012559,usr_0400,app_open,2026-03-28 07:18:00,,,,ios,b2b,2026-03-28 07:25:16
evt_0013081,usr_0418,app_open,2026-03-28 18:21:00,,,,android,b2c,2026-03-28 18:23:18
evt_0024694,usr_0736,app_open,2026-03-28 12:53:00,,,,ios,b2c,2026-03-28 12:55:40
evt_0022879,usr_0691,product_view,2026-03-28 00:44:00,SKU020,38.0,,ios,b2c,2026-03-28 00:52:59
evt_0014956,usr_0462,product_view,2026-03-28 02:11:00,SKU001,65.0,,android,b2c,2026-03-28 02:14:21
evt_0023367,usr_0702,add_to_cart,,SKU012,48.0,,ios,b2c,2026-03-28 23:59:00
evt_0005211,usr_0157,product_view,2026-03-28 21:02:00,SKU023,35.0,,android,b2c,2026-03-28 21:07:09
evt_0024777,usr_0738,app_open,2026-03-28 03:26:00,,,,ios,b2c,2026-03-28 03:28:48
evt_0014479,usr_0446,app_open,2026-03-28 21:06:00,,,,web,b2c,2026-03-28 21:09:45
evt_0005794,usr_0177,app_open,2026-03-28 15:40:00,,,,ios,b2c,2026-03-28 15:45:01
evt_0017082,usr_0521,gift_send,2026-03-28 21:09:00,SKU027,58.0,rec_0103,ios,b2c,2026-03-28 21:12:05
evt_0007764,usr_0249,purchase,2026-03-28 13:46:00,SKU028,65.0,,web,b2c,2026-03-28 13:52:40
evt_0022381,usr_0683,app_open,2026-03-28 18:48:00,,,,android,b2c,2026-03-28 18:48:39
evt_0017142,usr_0522,app_open,2026-03-28 19:57:00,,,,web,b2b,2026-03-28 20:03:35
