event_id,timestamp,event_type,user_id,user_type,platform,sku_id,price_usd,recipient_id,app_version,updated_at
evt_0016840,2026-03-30T16:20:00Z,gift_send,usr_0510,b2c,android,SKU030,46.0,rec_0003,5.2.1,2026-03-30T16:27:07Z
evt_0022826,2026-03-27T15:18:00Z,product_view,usr_0690,b2c,ios,SKU018,78.0,,5.3.0,2026-03-27T15:23:19Z
evt_0017029,2026-03-30T09:08:00Z,app_open,usr_0521,b2c,ios,,,,5.2.1,2026-03-30T09:13:18Z
evt_0002097,2026-03-30T09:39:00Z,app_open,usr_0061,b2c,ios,,,,5.3.0,2026-03-30T09:44:46Z
evt_0022851,2026-03-30T12:54:00Z,app_open,usr_0690,b2c,ios,,,,5.2.1,2026-03-30T12:55:56Z
evt_0009223,2026-03-30T03:39:00Z,app_open,usr_0291,b2c,ios,,,,5.3.0,2026-03-30T03:44:35Z
evt_0011861,2026-03-30T23:04:00Z,add_to_cart,usr_0367,b2c,web,SKU027,58.0,,,2026-03-30T23:12:59Z
evt_0004226,2026-03-30T08:00:00Z,app_open,usr_0118,b2b,web,,,,,2026-03-30T08:07:38Z
evt_0022822,2026-03-30T05:23:00Z,product_view,usr_0690,b2c,ios,SKU018,78.0,,5.2.0,2026-03-30T05:23:23Z
evt_0016693,,gift_send,usr_0505,b2b,ios,SKU005,42.0,rec_0145,5.2.0,2026-03-30T23:59:00Z
evt_0002652,,app_open,usr_0080,b2c,web,,,,,2026-03-30T23:59:00Z
evt_0008853,2026-03-26T11:50:00Z,add_to_cart,usr_0285,b2c,ios,SKU006,49.0,,5.3.0,2026-03-26T11:54:34Z
evt_0009838,2026-03-30T21:14:00Z,product_view,usr_0304,b2b,android,SKU024,36.0,,5.2.0,2026-03-30T21:15:33Z
evt_0006745,2026-03-30T23:53:00Z,app_open,usr_0209,b2c,ios,,,,5.3.0,2026-03-30T23:59:02Z
evt_0017217,2026-03-30T19:21:00Z,app_open,usr_0522,b2b,web,,,,,2026-03-30T19:24:48Z
